,questions,categories,answers
15,Por que as notas da Segunda Família têm tamanhos diferenciados?,Segunda Família do Real,"O principal motivo é garantir a acessibilidade das pessoas com deficiência visual ao dinheiro brasileiro, oferecendo um recurso confiável para reconhecimento e diferenciação das cédulas.  Além disso, a adoção de tamanhos diferenciados inibe a tentativa de falsificação por lavagem química.  Além dos tamanhos diferentes, os portadores de deficiência visual também podem contar com outro recurso para identificar os valores das notas: as marcas táteis, que são barras em alto-relevo localizadas no canto inferior direito das notas."
16,Quando um banco ou outra instituição pode me cobrar tarifa?,Tarifas bancárias,"Para que a cobrança seja feita, o serviço deve ter sido:   a) previsto no contrato do cliente ou previamente solicitado pelo cliente ou pelo usuário; e b) efetivamente prestado pelo banco ou instituição."
17,Onde encontro informações sobre instituições de pagamento?,SEM-CATEGORIA,No site do Banco Central existe uma página dedicada a esse assunto. Acesseaqui.
18,Qual a diferença entre o PIX e o DOC?,SEM-CATEGORIA,As mesmas diferenças existentes entre o PIX e a TED se aplicam para o DOC. A única especificidade é que a disponibilização do DOC para o recebedor é ainda mais demorada do que no caso da TED: o DOC só é disponibilizado no dia útil seguinte ao momento da sua iniciação.
19,O resumo das decisões proferidas pelo BC é público?,Processo Administrativo Sancionador Decisão,"Sim. O resumo da decisão é publicado no Diário Eletrônico, no site do BC, e contém: a identificação do acusado; o número do processo;o fundamento de direito da decisão;  o dispositivo da decisão; e o nome da autoridade que proferiu a decisão."
20,Quais são os beneficiários e as finalidades da Linha de Crédito “Pronaf Industrialização de Agroindústria Familiar”?,Programa Nacional de Fortalecimento da Agricultura Familiar - Pronaf,"A Linha de Crédito de industrialização para Agroindústria Familiar (Pronaf Industrialização de Agroindústria Familiar) tem como beneficiários: agricultores familiares beneficiários do Pronaf, mediante apresentação de DAP ativa; os empreendimentos familiares rurais que apresentem DAP pessoa jurídica ativa para a agroindústria familiar; as cooperativas e associações constituídas pelos beneficiários do Pronaf que apresentem DAP pessoa jurídica ativa para esta forma de organização.  Observar ainda que para os beneficiários definidos nos incisos 2 e 3 admite-se que os contratos de financiamento sejam formalizados diretamente com a pessoa jurídica.  As finalidades desta linha de Crédito são: custeio do beneficiamento e industrialização da produção, inclusive aquisição de embalagens, rótulos, condimentos, conservantes, adoçantes e outros insumos, formação de estoques de insumos, formação de estoques de matéria-prima, formação de estoque de produto final e serviços de apoio à comercialização, adiantamentos por conta do preço de produtos entregues para venda, financiamento da armazenagem, conservação de produtos para venda futura em melhores condições de mercado e a aquisição de insumos pela cooperativa de produção de agricultores familiares para fornecimento aos cooperados."
21,Quem tem direito a atendimento preferencial?,"Atendimento bancário (fila, feriados e outros)","Pessoas com deficiência ou com mobilidade reduzida, temporária ou definitiva, idosos com idade igual ou superior a 60 anos, gestantes, lactantes, pessoas acompanhadas por criança de colo e os obesos. Contudo, a matéria não é regulamentada pelo Banco Central nem pelo Conselho Monetário Nacional."
22,Posso solicitar a suspensão do meu cadastro?,Cadastro Positivo Solicitação de cancelamento ou suspensão do cadastro positivo,Sim. Basta solicitar a um dos gestores a suspensão do seu cadastro. Seu pedido deverá ser atendido gratuitamente no prazo de até 2 dias úteis.
23,"Como são contados os prazos, a partir da data de citação e intimação?",Processo Administrativo Sancionador Rito do Processo Administrativo Sancionador,"Os prazos são contados em dias corridos, excluído o dia de início e incluído o dia de vencimento, havendo a prorrogação para o primeiro dia útil imediatamente subsequente, se coincidirem com fim de semana ou feriado. Considera-se o dia de início do prazo:a data da ciência pelo interessado ou por seu procurador;a data da entrega no endereço do destinatário ou do recebimento por meio eletrônico;o sexto dia subsequente à data da disponibilização do ato no Diário Eletrônico do BCB ou a data do acesso ao  ato pelo sistema eletrônico (BC Correio), o que ocorrer primeiro;o sexto dia subsequente à disponibilização da intimação noDiário Eletrônico, no site do BCB ; ouo trigésimo primeiro dia subsequente à data de publicação do edital de citação no Diário Oficial da União ou noDiário Eletrônico, no site do BCB .  Para saber o impacto da Pandemia de Covid-19 nos prazos processuais e de cumprimento de termos de compromisso, acesse a página Processo Administrativo Sancionador e Termo de Compromisso."
24,"Com a mudança de sistema, não sei mais como classificar uma operação para registro no RDE-ROF?",Registro Declaratório Eletrônico - Registro de Operações Financeiras (RDE-ROF) Acesso ao RDE-ROF,Na seção 11 noManual do RDE-ROF é possível consultar uma tabela de correspondências entre as modalidades vigentes no sistema antigo e as modalidades do sistema atual.
25,Onde é divulgada a Taxa SML?,Sistema de Pagamentos em Moeda Local (SML),"Informações sobre a Taxa SML estão disponíveis em ""Estabilidade financeira > Câmbio e Capitais internacionais >Pagamento em moeda local"". A taxa também pode ser consultada pelo Sistema Gerenciador de Séries Temporais (SGS), disponível em ""Estatísticas > Séries Temporais (SGS)""."
26,O que o Banco Central faz com a minha reclamação?,Reclamações contra instituições autorizadas a funcionar pelo Banco Central,"A partir do recebimento da reclamação e mediante conhecimento da resposta oferecida pela instituição reclamada, o Banco Central (BC)  verifica se houve indício de descumprimento de dispositivos legais e regulamentares cuja fiscalização seja de responsabilidade do BC. O monitoramento das reclamações recebidas constitui uma primeira ação de fiscalização junto às instituições autorizadas a funcionar pelo BC, para que atuem em conformidade com as leis e normativos vigentes. Esses registros são importante subsídio para priorização, no âmbito do BC, de ações de supervisão e de regulação das atividades das instituições financeiras e para a formulação de políticas voltadas para educação financeira da população. Adicionalmente, as reclamações com indícios de irregularidades não afastados pelos argumentos contidos na resposta da instituição financeira são utilizadas na formação do Ranking de Instituições por Índice de Reclamações, no período em que foram concluídas. O descumprimento de normas e de regulamentos sob a fiscalização do BC sujeita a instituição infratora às penalidades previstas em legislação, como, por exemplo, advertência e multa."
27,Como registrar uma Repactuação ou Assunção no RDE-ROF?,"Registro Declaratório Eletrônico - Registro de Operações Financeiras (RDE-ROF) Repactuação, Assunção e Conversão de operações","Deve ser criado um novo registro RDE-ROF (referenciado como ROF de destino), representando as novas condições da operação financeira. Diferentemente do sistema anterior, não existe uma modalidade específica ou distinção em relação aos demais registros. A transferência dos recursos do registro RDE-ROF de origem (aquele que será repactuado) para o de destino, caso se trate de uma operação de empréstimo direito ou de títulos, deverá ser realizada por meio de operações simultâneas de câmbio, contratadas em uma Instituição Financeira. O próprio sistema RDE-ROF, nas modalidades Empréstimo Direto e Títulos, realizará automaticamente a transferência de recursos entre o RDE-ROF de origem e o de destino após a liquidação das operações simultâneas. Após a liquidação dos contratos de câmbio, o declarante deverá criar um novo Cronograma de pagamento no RDE-ROF de destino, a fim de possibilitar a remessa de recursos. Para outras modalidades distintas de Empréstimo Direto e Títulos, o registro de  Assunção e Repactuação pode ser realizado sem simultâneas de câmbio, por meio de aba específica no sistema RDE-ROF, conforme seção 6.2 do manual do RDE-ROF. Para maiores detalhes e exemplos, consultar o capítulo 6 domanual."
28,Quais são as condições básicas dos créditos de investimento do Pronaf - Jovem?,Programa Nacional de Fortalecimento da Agricultura Familiar - Pronaf,"Os créditos ao amparo da Linha de Crédito de Investimento para Jovens (Pronaf - Jovem) têm como beneficiários jovens maiores de 16 (dezesseis) anos e com até 29 (vinte e nove) anos, integrantes de unidades familiares, que atendam a uma ou mais das seguintes condições, além da apresentação de Declaração de Aptidão ao Pronaf (DAP) ativa:tenham concluído ou estejam cursando o último ano em centros familiares rurais de formação por alternância, que atendam à legislação em vigor para instituições de ensino; tenham concluído ou estejam cursando o último ano em escolas técnicas agrícolas de nível médio ou, ainda, há mais de um ano, curso de ciências agrárias ou veterinária em instituição de ensino superior, que atendam à legislação em vigor para instituições de ensino; tenham orientação e acompanhamento de empresa de assistência técnica e extensão rural reconhecida pela Sead e pela instituição financeira; tenham participado de cursos de formação do Programa Nacional de Acesso ao Ensino Técnico e Emprego (Pronatec) ou do Programa Nacional de Educação no Campo (Pronacampo).  O limite por beneficiário é de até R$16.500,00 (dezesseis mil e quinhentos reais), observado que podem ser concedidos até 3 (três) financiamentos para cada beneficiário e a contratação do novo crédito fica condicionada à prévia liquidação do financiamento anterior. A taxa efetiva de juros é de 2,5% a.a. (dois inteiros e cinco décimos por cento ao ano)."
29,Posso adquirir o bem ou serviço financiado em qualquer fornecedor?,Consórcios Aquisição de bens e serviços,"Sim. Você poderá comprar qualquer bem que esteja no mesmo segmento ou categoria, definido no seu contrato, no fornecedor que você escolher. A administradora não pode obrigá-lo a comprar o bem escolhido em um fornecedor indicado por ela."
30,"E no caso de operações de venda por ordem de clientes, o que ocorrerá?",Liquidação Extrajudicial - Corretoras de Títulos e Valores Mobiliários,Os contratos finalizados serão concluídos após os procedimentos de identificação e de conferência a serem adotados pelo liquidante.
31,Porque o crédito rotativo não pode ser utilizado por mais de 30 dias?,Cartão de Crédito e Crédito Rotativo,"Desde 3 de abril de 2017, com a entrada em vigor da Resolução 4.549, o saldo devedor da fatura de cartão de crédito, quando não pago integralmente até o vencimento, somente pode ser mantido em crédito rotativo até o vencimento da fatura subsequente (em geral, 30 dias)."
32,É obrigatório tirar o extrato da conta e apresentar junto com a nota manchada?,SEM-CATEGORIA,"Não. Basta o cidadão ir ao banco e solicitar a substituição imediata da cédula manchada. Os bancos têm os registros de saques efetuados, inclusive nos caixas eletrônicos."
33,O Banco Central pode obrigar a instituição a cumprir uma decisão judicial?,Banco Central do Brasil,"Conforme esclarecido na pergunta acima, são esferas diferentes de atuação e o cumprimento de decisões judiciais deve ser buscado na esfera judicial. Cabe, portanto, ao próprio Poder Judiciário avaliar se suas decisões foram cumpridas, bem como corrigir e mandar punir eventuais descumprimentos."
34,Quais regras se aplicam ao crédito consignado?,Empréstimos consignados Principais dúvidas,"Há legislação específica para o empréstimo consignado:Para servidores públicos federais: Lei nº 8.112, de 1990, e Decreto nº 8.690, de 2016; Para servidores públicos e pensionistas dos estados, dos municípios e do Distrito Federal: legislação local.Para empregados regidos pela CLT: Lei nº 10.820, de 2003;Para aposentados do INSS: Lei nº 8.213, de 1991 e Instrução Normativa INSS/PRES 28, de 2008 (alterada pela Instrução Normativa INSS 81, de 2015). O Banco Central (BC) elabora normas sobre operações de crédito em geral, mas não há norma específica do BC sobre o consignado. Veja as perguntas e respostas sobre empréstimos, financiamentos e arrendamento mercantil (leasing)."
35,Quais são os principais elementos de segurança das novas notas?,SEM-CATEGORIA,"Todas as novas notas têm a marca-d’água, que apresenta o valor da nota e a imagem do respectivo animal; o número escondido, que aparece quando a nota é colocada na posição horizontal, na altura dos olhos; e o alto-relevo, em diversas áreas. As notas de 10 e 20 reais contêm o Número que Muda de Cor, no canto superior direito. Já as de 50 e 100 reais contam com a Faixa Holográfica."
36,Quando preciso cadastrar o devedor dos empréstimos?,CBE - Capitais Brasileiros no Exterior Informando os ativos no exterior,É necessário cadastrar o devedor dos empréstimos apenas quando a contraparte for empresa do mesmo grupo econômico da empresa declarante.
37,Como saber o tipo de prazo a ser declarado nas fichas de passivos?,Censo Anual de Capitais Estrangeiros no País,"Deve ser selecionado o prazo original do passivo. Entende-se como prazo original o prazo contratual e não o prazo residual.    Selecionar ""Curto"", para prazo original de até 360 dias e ""Longo"" para prazo original acima de 360 dias."
38,Quais os principais sistemas e modalidades de financiamento imobiliário?,Crédito Imobiliário,"Os dois principais sistemas de financiamento imobiliário são o Sistema Financeiro de Habitação (SFH) e o Sistema de Financiamento Imobiliário (SFI).    As modalidades são os financiamentos para: aquisição, construção, reforma, ampliação, produção de imóveis e compra de material de construção."
39,As operações de empréstimo e de financiamento entre pessoas por meio de plataforma eletrônica somente podem ser realizadas por meio de SEP?,SEM-CATEGORIA,"Sim, essas operações são exclusivas de SEP. Caso outra modalidade de instituição financeira tenha interesse em realizar esse tipo de operação, é permitida a constituição de uma SEP dentro do conglomerado a que pertença."
40,"O próprio devedor da operação financeira pode efetuar o registro do RDE-ROF no Banco Central, ou é necessário contratar alguém para fazê-lo?",Registro Declaratório Eletrônico - Registro de Operações Financeiras (RDE-ROF) Conceitos Básicos,"O próprio devedor da operação pode registrar sua operação financeira no RDE-ROF. Adicionalmente, o Banco Central disponibiliza atendimento telefônico (145) e por e-mail (rde-rof@bcb.gov.br) para esclarecer todas as dúvidas do declarante."
41,"De que forma a Lei 12.865, de 2013, pode facilitar a inclusão financeira de parte da população que só usa dinheiro?",SEM-CATEGORIA,"A lei viabiliza a criação de um ambiente mais seguro para a prestação de serviços de pagamento por instituições não financeiras, denominadas instituições de pagamento. Decorre daí o incentivo à competição, com maior oferta de serviços de pagamento, além de serem criadas condições para facilitar o processo de inclusão financeira, isto é, um cidadão sem conta corrente e sem acesso aos serviços de pagamento tradicionais, ofertados pelos bancos, pode fazer pagamentos e transferências por intermédio de serviços de pagamentos ofertadas por instituições não financeiras."
42,As informações pessoais disponibilizadas ao fazer um Pix estão protegidas?,Pagamento Instantâneo (Pix) Segurança e proteção de dados no Pix,"Sim. As informações pessoais trafegadas nas transações Pix, assim como nas transações de TEDs e DOCs, estão protegidas pelo sigilo bancário, de que trata aLei Complementar nº 105, e pelas disposições da Lei Geral de Proteção de Dados, que entrará em vigor."
43,Quais operações podem ser cursadas no SML?,Sistema de Pagamentos em Moeda Local (SML),"O SML aplica-se às operações de até 360 dias.  Quanto a Argentina, podem ser realizados pagamentos referentes a: comércio internacional de bens e pagamento de serviços associados a essas operações, tais como frete e seguro, que envolvam pessoas físicas e jurídicas residentes, domiciliadas ou com sede no Brasil ou na Argentina;aposentadorias e pensões, entre o Brasil e a Argentina, desde que a previdência oficial (entidade pagadora) e o seu beneficiário (destinatário) sejam residentes, domiciliados ou tenham sedes nesses países, mas em polos distintos. Quanto ao Uruguai, podem ser realizados pagamentos referentes a:comércio internacional de bens e pagamento de serviços associados a essas operações, tais como frete e seguro;operações de comércio internacional de serviços diversos não sujeitos ao registro de que trata aResolução 3.844, de 2010; aposentadorias e pensões e demais transferências unilaterais correntes descritas no Anexo V daCircular 3.690, de 2013.  Quanto ao Paraguai, podem ser realizados pagamentos referentes a:operações de comércio internacional de bens e serviços associados a operações elencadas no art. 2º Regulamento Anexo daCircular 3.907, de 2018;operações de comércio internacional de serviços diversos dispostos no art. 2º, Regulamento Anexo daCircular 3.907, de 2018;algumas operações descritas no Anexo V da Circular nº 3.690, de 16 de dezembro de 2013, elencadas no item III, do art. 2º, Regulamento Anexo daCircular 3.907, de 2018."
44,Uma instituição me ofertou portabilidade de crédito. O que eu preciso fazer para transferir minha dívida?,Portabilidade de Crédito Procedimentos,"Antes de fazer a portabilidade de seu empréstimo ou financiamento, você deve negociar com a instituição que lhe ofertou a proposta e comparar as condições do novo contrato com o seu contrato atual, para verificar qual é mais vantajoso. Nunca assine contratos ou fichas em que as condições da operação estejam em branco.  Assim que receber a proposta, solicite a planilha do CET (leia mais emempréstimos, financiamentos e arrendamento mercantil, seção 3) para comparar o novo contrato com o atual.  Em seguida, solicite à instituição financeira com a qual você possui a operação de crédito as seguintes informações, para fazer uma comparação objetiva:    número do contrato;saldo devedor atualizado;demonstrativo da evolução do saldo devedor;modalidade de empréstimo contratado;taxa de juros anual, nominal e efetiva;prazo total e remanescente;sistema de pagamento;valor de cada prestação, especificando o valor do principal e dos encargos; edata do último vencimento da operação.   A instituição cedente deve prestar essa informação no prazo de 1 dia útil. Importante: as instituições podem definir procedimentos operacionais a serem adotados para o fornecimento das referidas informações. Contudo, as instituições financeiras não podem definir critérios ou procedimentos desarrazoados que impeçam ou dificultem a transferência de relacionamento para outra instituição. Tenha em mãos as planilhas de CET das duas instituições financeiras para fazer uma comparação objetiva. Nos casos de arrendamento mercantil, verifique se os prazos mínimos foram cumpridos, para que não haja perda dos benefícios vinculados à natureza do contrato. Saiba mais na seção 4 das perguntas frequentes que tratam deempréstimos, financiamento e arrendamento mercantil (leasing)."
45,Quais pessoas ou instituições podem consultar o cadastro positivo?,Cadastro Positivo Conceitos importantes,"Apenas podem consultar os dados de cadastrados as pessoas físicas ou jurídicas que demonstrem aos gestores de bancos de dados que possuem alguma relação comercial com o consumidor e que, em virtude dessa relação, o cliente tem interesse em contratar com ela uma das seguintes operações:obtenção de crédito;autofinanciamento; ecompra a prazo ou em outras transações comerciais e empresariais que impliquem risco financeiro."
46,"Além dos limites de que trata a questão 1, há outros requisitos para o MPO?",Microcrédito Microcrédito Produtivo Orientado – Limites e requisitos,"Sim. O MPO exige também: - O uso de metodologia específica que compreende, no no mínimo:  a) orientação sobre o planejamento do negócio e acompanhamento da operação;   b) avaliação dos riscos da operação, levando em consideração, pelo menos, a necessidade de crédito, a situação econômico-financeira, grau de endividamento, capacidade de geração de resultados e fluxo de caixa de cada tomador; e  c)mecanismo de controle do volume e da inadimplência das operações realizadas.  Além disso, as atividades deverão ser exercidas por assessoria especializada,podendo ser prestada por profissional especializado, inclusive do próprio quadro da instituição, ou pelas pessoas jurídicas especializadas no apoio, no fomento ou na orientação às atividades produtivas e poderão ser realizadas de forma não presencial."
47,A instituição financeira é obrigada a fiscalizar a aplicação do valor financiado?,SEM-CATEGORIA,"Sim. É obrigatória a fiscalização direta de todos os créditos, ressalvados os casos expressamente previstos."
48,Quais são os relatórios disponibilizados pelo sistema Registrato?,Registrato,"Os relatórios fornecidos são compostos por informações enviadas pelas instituições financeiras sendo eles:            Relatório de Contas e Relacionamentos em Bancos - CCS: contém informações sobre os relacionamentos da pessoa física ou da pessoa jurídica com as instituições financeiras nas quais o cliente mantém seus ativos e/ou investimentos (como conta corrente e poupança). As informações fornecidas se referem aos relacionamentos vigentes desde 01.01.2001 e não contêm dados de valor, de movimentação financeira ou de saldos de contas ou aplicações.Saiba mais.             Relatório de Empréstimos e Financiamnetos - SCR: contém informações sobre as operações de crédito (como empréstimos, financiamentos e outras), de valor total igual ou superior a R$200,00 (duzentos reais), obtidas por uma pessoa física ou por uma pessoa jurídica junto às instituições financeiras.Saiba mais.            Relatório de Operações de Câmbio e Transferências Internacionais: contém informações sobre as operações de câmbio e transferências internacionais registradas por uma pessoa física ou por uma pessoa jurídica.Saiba mais. Relatório de Chaves Pix: contém informações sobre a lista dos bancos, cooperativas de crédito e outras instituições financeiras e de pagamento onde o cliente (pessoa física ou jurídica) possui uma chave Pix.Saiba mais."
49,"Se eu não tiver acesso à internet, é possível fazer um PIX?",SEM-CATEGORIA,"Em um primeiro momento, você somente poderá fazer um PIX se estiver conectado à internet. Há, no entanto, previsão de disponibilização de uma forma de pagamento off-line para 2021."
50,Quanto custa para acessar?,Registrato,O acesso ao sistema Registrato é gratuito.
51,Posso fazer um Pix Agendado por meio de um iniciador?,Pagamento Instantâneo (Pix) Entendendo sobre iniciação de transação de pagamento no Pix,"O agendamento por meio do serviço de iniciação está previsto na agenda evolutiva, e será disponibilizado a partir de 01/11/2021, não estando disponível neste momento. Por enquanto, para fazer um Pix agendado, é necessário efetuar a transação diretamente do aplicativo da instituição a qual você possui conta."
